No,Prefecture,code_pref,Hospital,Corporation,Address,Type,Y,X,Underpopulated,Mountainous,RI,Peninsula,Snowfall,Agricultural
44,宮城県,4,旭山病院,医療法人　朋心会,宮城県大崎市鹿島台平渡字大沢21-18,3,38.4892687763657,141.092706697898,,,,,,
45,宮城県,4,こころのホスピタル・古川グリーンヒルズ,医療法人　菅野愛生会,宮城県大崎市古川西館三丁目6-60,3,38.5740663178614,140.948789140228,,,,,1,
46,宮城県,4,南浜中央病院,特定医療法人　松涛会,宮城県岩沼市寺島字北新田111番地,3,38.0837051020862,140.919020502116,,,,,,
47,秋田県,5,大館市立総合病院,大館市,秋田県大館市豊町3番1号,3,40.2732756145875,140.555343255637,2,,,,1,
48,秋田県,5,たかのす今村クリニック,医療法人　久幸会,秋田県北秋田市栄字中綱89番5,4,40.2301719894836,140.378358069113,1,1,,,1,1
49,秋田県,5,能代厚生医療センター,秋田県厚生農業協同組合連合会,秋田県能代市落合字上前田地内,3,40.2266524143832,140.023053026786,1,,,,1,
50,秋田県,5,市立秋田総合病院,地方独立行政法人 市立秋田総合病院,秋田県秋田市川元松丘町4番30号,1,39.7119105648903,140.103382811426,,,,,1,
51,秋田県,5,秋田緑ヶ丘病院,医療法人 久盛会,秋田県秋田市飯島字堀川84番地,3,39.7902122836275,140.061222440264,,,,,1,
52,秋田県,5,菅原病院,特定医療法人　荘和会,秋田県由利本荘市石脇字田尻33番地,3,39.3905454382522,140.022654842105,2,,,,1,
53,秋田県,5,秋田県立リハビリテーション・精神医療センター,地方独立行政法人　秋田県立病院機構,秋田県大仙市協和上淀川字五百刈田352番地,3,39.5985929053411,140.29497399793,2,1,,,2,1
54,秋田県,5,横手興生病院,社会医療法人　興生会,秋田県横手市根岸町8番21号,3,39.3178414713497,140.569719811414,2,,,,1,
55,秋田県,5,菅医院,医療法人　せいとく会,秋田県湯沢市小野字東堺77番1号,4,39.0644095837769,140.455521622254,1,,,,2,1
56,山形県,6,篠田総合病院,医療法人　篠田好生会,山形県山形市桜町2-68,3,38.2517184459248,140.331206460242,,,,,1,
57,山形県,6,PFC HOSPITAL,医療法人社団　清明会,山形県新庄市大字福田806,3,38.7421180481183,140.26771106062,,,,,2,
58,山形県,6,佐藤病院,社会医療法人　公徳会,山形県南陽市椚塚948-1,3,38.043767148265,140.172220321466,,,,,2,1
59,山形県,6,日本海総合病院,地方独立行政法人　山形県・酒田市病院機構,山形県酒田市あきほ町30,3,38.8906825417274,139.853907514697,,,,,1,
60,山形県,6,山形病院,独立行政法人　国立病院機構,山形県山形市行才126-2,4,38.2875215803191,140.309071360269,,,,,1,
61,福島県,7,福島県立医科大学,公立大学法人　福島県立医科大学,福島県福島市光が丘１,1,37.6895588964428,140.470835197926,,,,,,
62,福島県,7,枡記念病院,医療法人　辰星会,福島県二本松市住吉100,3,37.5548363086697,140.403956890403,,,,,,
63,福島県,7,あずま通りクリニック,医療法人　湖山荘,福島県福島市栄町1-28　松ヶ丘ビル1階,4,37.7565823331759,140.460311259864,,,,,1,
64,福島県,7,星総合病院,公益財団法人　星総合病院,福島県郡山市向河原町159番1号,3,37.4021399701281,140.392893690288,,,,,,
65,福島県,7,あさかホスピタル,Ｄｏｍａｎｉ（ドマーニ） 社会医療法人　あさかホスピタル,福島県郡山市安積町笹川字経坦４５,3,37.3476170044255,140.363973298172,,,,,,
66,福島県,7,福島県立ふくしま医療センターこころの杜,福島県,福島県西白河郡矢吹町滝八幡100,4,37.2156810016275,140.318997913419,,,,,,
67,福島県,7,竹田綜合病院,一般財団法人　竹田健康財団,福島県会津若松市山鹿町3番27号,3,37.4899786497636,139.922403144317,,,,,1,
68,福島県,7,福島県立南会津病院,福島県,福島県南会津郡南会津町永田字風下14-1,4,37.2064738129418,139.760275674796,1,1,,,1,1
69,福島県,7,雲雀ヶ丘病院,公益財団法人　金森和心会,福島県南相馬市原町区上町1-30,4,37.63050727751,140.951349090461,,1,,,,
70,福島県,7,舞子浜病院,公益財団法人　磐城済世会,福島県いわき市平藤間字川前63-1,3,37.0356701396587,140.970355228631,,,,,,
71,福島県,7,四倉病院,医療法人社団　石福会,福島県いわき市四倉町下仁井田字南追切2-2,4,37.0891060876666,140.973037228671,,,,,,
72,茨城県,8,筑波大学附属病院,国立大学法人　筑波大学,茨城県つくば市天久保2-1-1,1,36.0921631169566,140.102352257618,,,,,,
73,茨城県,8,汐ヶ崎病院,医療法人　碧水会,茨城県水戸市大串町715,3,36.3330613701706,140.539350158803,,,,,,
74,茨城県,8,石崎病院,公益財団法人　報恩会,茨城県東茨城郡茨城町上石崎4698,3,36.3123634146908,140.478499258787,,,,,,
75,茨城県,8,日立梅ヶ丘病院,医療法人　圭愛会,茨城県日立市大久保町2409-3,3,36.5519388332522,140.608851643618,,,,,,
76,茨城県,8,志村大宮病院,医療法人　博仁会,茨城県常陸大宮市上町313,3,36.5492394538634,140.413939458962,,,,,,
